permno,date,ticker,mean_recommendation,recommendation_change,num_recommendations
87034,2024-07-31,LII,2.5,-1.0,2
87034,2024-08-31,LII,2.0,-0.5,1
87034,2024-10-31,LII,3.5,1.5,2
87034,2024-11-30,LII,5.0,1.5,1
87055,2019-12-31,COST,3.0,,1
87055,2020-01-31,COST,1.0,-2.0,1
87055,2020-02-29,COST,3.0,2.0,1
87055,2020-03-31,COST,1.75,-1.25,4
87055,2020-04-30,COST,2.0,0.25,1
87055,2020-06-30,COST,4.0,2.0,1
87055,2020-07-31,COST,2.6666666666666665,-1.3333333333333335,3
87055,2020-08-31,COST,3.0,0.3333333333333335,1
87055,2020-10-31,COST,1.5,-1.5,2
87055,2021-01-31,COST,2.0,0.5,1
87055,2021-03-31,COST,2.0,0.0,2
87055,2021-07-31,COST,2.0,0.0,1
87055,2021-08-31,COST,2.5,0.5,2
87055,2021-09-30,COST,2.0,-0.5,1
87055,2021-10-31,COST,3.0,1.0,1
87055,2021-11-30,COST,2.0,-1.0,2
87055,2021-12-31,COST,3.0,1.0,2
87055,2022-01-31,COST,2.0,-1.0,1
87055,2022-06-30,COST,2.0,0.0,1
87055,2022-07-31,COST,2.0,0.0,1
87055,2022-09-30,COST,2.0,0.0,1
87055,2022-10-31,COST,2.0,0.0,1
87055,2022-11-30,COST,3.0,1.0,1
87055,2022-12-31,COST,1.6666666666666667,-1.3333333333333333,3
87055,2023-02-28,COST,3.0,1.3333333333333333,2
87055,2023-03-31,COST,1.5,-1.5,2
87055,2023-04-30,COST,1.0,-0.5,1
87055,2023-06-30,COST,4.0,3.0,1
87055,2023-08-31,COST,2.0,-2.0,1
87055,2023-09-30,COST,3.0,1.0,1
87055,2023-12-31,COST,3.0,0.0,2
87055,2024-04-30,COST,2.0,-1.0,1
87055,2024-07-31,COST,2.0,0.0,1
87055,2024-08-31,COST,1.0,-1.0,1
87055,2024-09-30,COST,3.0,2.0,3
87055,2024-10-31,COST,1.0,-2.0,1
87137,2019-12-31,DVN,1.6666666666666667,,3
87137,2020-01-31,DVN,2.0,0.33333333333333326,4
87137,2020-03-31,DVN,2.4285714285714284,0.4285714285714284,7
87137,2020-04-30,DVN,3.0,0.5714285714285716,1
87137,2020-06-30,DVN,2.0,-1.0,1
87137,2020-07-31,DVN,2.5,0.5,2
87137,2020-08-31,DVN,2.0,-0.5,1
87137,2020-09-30,DVN,2.0,0.0,1
87137,2020-11-30,DVN,2.0,0.0,2
87137,2020-12-31,DVN,2.0,0.0,1
87137,2021-01-31,DVN,1.0,-1.0,1
87137,2021-02-28,DVN,2.0,1.0,1
87137,2021-03-31,DVN,2.0,0.0,2
87137,2021-04-30,DVN,2.0,0.0,1
87137,2021-06-30,DVN,1.6666666666666667,-0.33333333333333326,3
87137,2021-07-31,DVN,3.0,1.3333333333333333,1
87137,2021-10-31,DVN,3.0,0.0,1
87137,2021-11-30,DVN,1.5,-1.5,2
87137,2022-01-31,DVN,3.0,1.5,2
87137,2022-02-28,DVN,2.0,-1.0,2
87137,2022-03-31,DVN,2.5,0.5,2
87137,2022-04-30,DVN,2.0,-0.5,1
87137,2022-05-31,DVN,2.75,0.75,4
87137,2022-06-30,DVN,3.0,0.25,2
87137,2022-08-31,DVN,3.5,0.5,2
87137,2022-09-30,DVN,3.0,-0.5,1
87137,2022-10-31,DVN,3.0,0.0,1
87137,2023-01-31,DVN,3.0,0.0,2
87137,2023-02-28,DVN,1.0,-2.0,1
87137,2023-05-31,DVN,2.0,1.0,1
87137,2023-06-30,DVN,2.5,0.5,2
87137,2023-08-31,DVN,2.0,-0.5,1
87137,2023-09-30,DVN,2.5,0.5,2
87137,2023-10-31,DVN,3.0,0.5,1
87137,2023-11-30,DVN,2.0,-1.0,1
87137,2023-12-31,DVN,2.0,0.0,2
87137,2024-03-31,DVN,2.0,0.0,3
87137,2024-04-30,DVN,3.0,1.0,1
87137,2024-06-30,DVN,1.0,-2.0,1
87137,2024-07-31,DVN,2.5,1.5,2
87137,2024-09-30,DVN,3.0,0.5,2
87137,2024-10-31,DVN,3.0,0.0,1
87137,2024-11-30,DVN,3.0,0.0,1
87137,2024-12-31,DVN,2.3333333333333335,-0.6666666666666665,3
87267,2019-12-31,BLK,2.6666666666666665,,3
87267,2020-01-31,BLK,2.0,-0.6666666666666665,1
87267,2020-02-29,BLK,3.0,1.0,1
87267,2020-05-31,BLK,1.5,-1.5,2
87267,2020-09-30,BLK,2.0,0.5,1
87267,2021-11-30,BLK,1.0,-1.0,1
87267,2022-01-31,BLK,1.0,0.0,1
87267,2022-03-31,BLK,3.0,2.0,1
87267,2022-04-30,BLK,3.0,0.0,1
87267,2022-10-31,BLK,2.0,-1.0,2
