permno,date,ticker,weighted_mean_recommendation,recommendation_change,unweighted_mean_recommendation,unweighted_change,num_recommendations,effective_recommendation_count
19166,2022-05-31,FMC,1.0,1.2953102188964574,1.0,1.25,1,1.0
89217,2022-05-31,AAP,-0.5,-1.2429971445684742,-1.0,-2.0,1,0.5
93436,2022-05-31,TSLA,0.0,1.2345280824200093,0.0,0.6,3,0.5012266472422149
79323,2022-05-31,ALL,0.0,1.2305030340114569,0.0,1.0,1,0.336475048158089
92322,2022-05-31,ULTA,-1.2190136542044754,-1.1565136542044754,-2.0,-1.5,1,0.6095068271022377
91233,2022-05-31,MA,-0.25,-1.1557236642639066,-0.5,-1.5,2,0.4023767067755595
12872,2022-05-31,MPC,0.0,1.1040895136738125,0.0,1.0,1,0.22643091606597668
18312,2022-05-31,MRNA,0.0,1.1040895136738125,0.0,2.0,1,0.07618835338777971
77462,2022-05-31,FD,-0.7777443511812823,-1.0537667295997353,-0.6666666666666666,-1.6666666666666665,3,1.38725117828352
61399,2022-05-31,LOW,-0.16823752407904452,1.0507761301254308,-1.0,1.0,1,0.16823752407904452
89269,2022-05-31,CNC,-1.2190136542044754,-1.042020249093894,-1.0,0.0,2,1.2190136542044754
36468,2022-05-31,SHW,1.0,1.0,1.0,1.0,1,1.0
49680,2022-05-31,DHR,-1.0,-1.0,-1.0,-1.0,1,1.0
80080,2022-05-31,EMN,-1.0,-1.0,-1.0,-1.0,1,1.0
22509,2022-06-30,PPG,-1.4859942891369484,-2.4859942891369484,-1.0,-1.5,2,1.4859942891369484
90373,2022-06-30,DLR,-2.2264309160659765,-2.2264309160659765,-1.5,-1.5,2,1.2264309160659768
49015,2022-06-30,LNC,0.0,2.180277867061592,0.0,1.25,1,0.45286183213195336
59010,2022-06-30,GPS,0.0,-2.018850288948534,0.0,-1.0,1,0.16823752407904452
89138,2022-06-30,BG,-2.0,-2.0,-2.0,-2.0,1,1.0
59408,2022-06-30,BAC,-1.9851958569904697,-1.9851958569904697,-1.0,-1.0,3,1.9851958569904697
19166,2022-06-30,FMC,-0.820335356007638,-1.820335356007638,-1.0,-2.0,2,0.6365985940697957
86868,2022-06-30,GS,-1.8114473285278134,-1.8114473285278134,-2.0,-2.0,1,0.9057236642639067
89866,2022-06-30,LKQ,0.0,1.8114473285278134,0.0,2.0,1,0.7429971445684742
75819,2022-06-30,VTR,-2.0690055946046133,-1.7929832161861603,-1.5,-0.5,2,1.0690055946046133
90520,2022-06-30,CE,1.4859942891369484,1.6910781281388578,0.6666666666666666,1.6666666666666665,3,1.7359942891369484
89617,2022-06-30,EQIX,-2.0,-1.663524951841911,-2.0,-1.0,1,1.0
87299,2022-06-30,AKAM,0.0,1.6506536061834751,0.0,1.0,1,0.18574928614211855
37584,2022-06-30,BEN,1.640670712015276,1.640670712015276,1.0,1.0,2,1.640670712015276
78987,2022-06-30,MCHP,-1.640670712015276,-1.640670712015276,-1.0,-1.0,2,0.9228772755085927
12345,2022-06-30,LYB,1.4859942891369484,1.5992097471699367,1.0,1.6666666666666665,2,1.4859942891369484
77661,2022-06-30,DHI,0.0,1.4859942891369484,0.0,1.0,1,0.20508383900190952
34833,2022-06-30,OXY,0.0,1.3636540866510587,0.0,1.25,1,0.10254191950095473
89626,2022-06-30,CME,-0.13801118920922653,1.3148506429227267,-1.0,1.0,1,0.13801118920922653
10107,2022-06-30,MSFT,0.0,1.2710058764405243,0.0,1.25,1,0.08411876203952226
80563,2022-06-30,PENN,-1.820335356007638,-1.268290599170732,-1.0,1.0,2,1.820335356007638
15291,2022-06-30,ETSY,-1.238353771698854,-1.238353771698854,-1.0,-1.0,4,1.8433397270581016
86339,2022-06-30,CCI,-1.9375,-1.1945028554315258,-0.3333333333333333,0.0,3,1.882835356007638
84761,2022-06-30,TTWO,-0.12500000000000003,1.1715567894079348,-1.0,0.6666666666666667,1,0.12500000000000003
