symbol,company,year_month,signal,weighted_sentiment_score,avg_sentiment_score,article_count,positive_count,negative_count,neutral_count,effective_article_count
AMGN,Amgen,2015-04,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-05,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-06,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-07,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-08,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-09,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-10,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-11,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-12,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-01,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-02,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-03,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-04,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-05,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-06,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-07,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-08,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-09,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-10,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-11,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2016-12,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-01,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-02,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-03,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-04,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-05,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-06,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-07,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-08,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-09,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-10,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-11,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2017-12,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-01,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-02,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-03,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-04,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-05,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-06,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-07,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-08,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-09,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-10,sell,-0.3399,-0.4535,2,0,2,0,0.75
AMGN,Amgen,2018-11,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2018-12,hold,0.0069,0.1004,1,0,0,1,0.07
